"search-number","evaluation","evals-requested-so-far","initial-fruit-bushes*","initial-foragers*","bush-growth-chance*","ticks-to-flee*","max-age*","collaboration-bonus*","rate-of-mutation*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","63","160","8","45","34","79","106","0.1754421301594568","3.6","""1590423651""","3632","7174.507502861068","4828.74611836922","1114.2389263399505","7021.823419546808"
"1","64","160","8","45","34","79","106","0.1754421301594568","3.6","""602784549""","3764","4704.883656061646","4110.761917772004","286.80124059560075","4704.883656061646"
"1","65","160","8","45","34","79","106","0.1754421301594568","3.6","""1676177876""","4152","7261.903990234226","5179.648501088153","1010.9221887531901","7261.903990234226"
"1","66","160","8","45","34","79","106","0.1754421301594568","3.6","""-1200741795""","3721","6943.959060044252","4606.569065279152","982.1678052690387","6943.959060044252"
"1","67","160","8","45","34","79","106","0.1754421301594568","3.6","""786836462""","3611","4997.895197985808","4075.885118117671","408.7928526244375","4997.895197985808"
"1","68","160","8","45","34","79","106","0.1754421301594568","3.6","""1546293099""","3750","6473.778840822971","4641.394900908265","869.6708464577977","6473.778840822971"
"1","69","160","8","45","34","79","106","0.1754421301594568","3.6","""-2087725625""","3881.4561898222323","5975.56471808957","4573.341672041324","675.847315893079","5975.56471808957"
"1","70","160","8","45","34","79","106","0.1754421301594568","3.6","""-1258642764""","3966","7283.601196307316","5080.532636011145","1045.2954495338017","7283.601196307316"
"1","71","160","28","57","94","26","251","3.4490623331044485","2.5","""1837493503""","5468","23367.05328730196","11915.241906798603","6017.069696201722","23367.05328730196"
"1","72","160","28","57","94","26","251","3.4490623331044485","2.5","""662581337""","5325","20568.082346074614","10355.726473473851","5109.215191151388","20568.082346074614"
"1","73","160","28","57","94","26","251","3.4490623331044485","2.5","""-74769821""","5519","21789.128946428118","12215.39632362006","6414.112190134255","21789.128946428118"
"1","74","160","28","57","94","26","251","3.4490623331044485","2.5","""2064347488""","4979","21899.610605401693","10565.426366154581","5812.9838598625765","21899.610605401693"
"1","75","160","28","57","94","26","251","3.4490623331044485","2.5","""-1770563976""","5481","22408.858113857732","12099.711839409614","5152.8333794878945","22408.858113857732"
"1","76","160","28","57","94","26","251","3.4490623331044485","2.5","""-1505419280""","5481","22714.654840777555","10251.09612785526","5259.093197681036","22714.654840777555"
